Category,Description
HR,Microsoft Access
HR,HR Consulting
HR,Talent Management
HR,Organizational Development
HR,Performance Management
HR,Training & Development
HR,Performance Appraisal
Data Science,Machine Learning
Data Science,R (Programming Language)
Data Science,Data Science
Data Science,Python (Programming Language)
Data Science,Deep Learning
Data Science,Natural Language Processing (NLP)
Data Science,Tableau
Data Science,SQL
Data Science,Predictive Modeling
Data Science,Statistics
Data Science,Data Analysis
Data Science,Data Visualization
Data Science,Statistical Modeling
Data Science,TensorFlow
Data Science,Predictive Analytics
Data Science,Artificial Intelligence (AI)
Data Science,Data Mining
Data Science,Scikit-Learn
Data Science,Data Analytics
Data Science,Apache Spark
Data Science,Big Data
Data Science,Hadoop
Data Science,Algorithms
Data Science,Git
